10,8,16,22,36,2,0,6,0.606,0.826
24,12,13,14,11,19,6,1,0.117,0.111
18,1,8,11,31,6,6,19,1.094,1.55
5,6,0,10,28,14,25,12,0.231,0.27
18,38,9,28,1,4,1,1,0.134,0.12
12,21,7,14,2,22,4,18,0.155,0.112
8,42,8,3,0,17,11,11,0.103,0.064
18,21,0,2,4,24,8,23,0.194,0.189
9,2,3,18,6,20,24,18,0.114,0.107
10,4,0,51,5,7,13,10,0.129,0.153
32,27,8,24,0,7,1,1,0.109,0.092
6,9,1,22,19,6,13,24,0.539,0.762
29,2,15,6,16,7,11,14,0.479,0.534
1,47,6,5,6,19,0,16,0.196,0.138
18,2,29,11,10,11,3,16,0.396,0.528
28,2,1,27,2,28,2,10,0.104,0.082
50,9,3,6,6,19,2,5,0.144,0.121
28,17,19,14,0,4,0,18,0.428,0.564
3,18,11,14,15,17,12,10,0.194,0.205
5,5,12,39,4,26,2,7,0.135,0.129
23,11,39,6,4,0,8,9,0.443,0.503
12,4,3,28,0,8,13,32,0.297,0.324
9,0,35,8,0,6,17,25,0.542,0.743
3,5,33,2,19,19,19,0,0.177,0.185
18,1,28,6,24,6,4,13,0.771,0.88
14,48,12,8,7,7,3,1,0.137,0.112
21,0,3,37,30,1,4,4,0.336,0.435
11,5,12,34,1,5,12,20,0.31,0.39
16,1,21,1,0,3,24,34,0.987,1.138
2,5,0,44,2,28,4,15,0.129,0.051
0,0,32,18,0,50,0,0,0.457,0.084
0,0,50,0,0,50,0,0,0.553,0.09
0,0,27,12,0,50,12,0,0.322,0.064
31,0,22,0,0,47,0,0,0.376,0.084
35,0,5,0,27,0,0,33,2.282,2.236
33,0,5,0,26,12,0,23,1.727,1.981
29,0,41,0,1,0,0,28,0.959,1.102
36,0,23,0,0,41,0,0,0.203,0.073
27,0,24,0,0,48,0,0,0.364,0.07
0,0,42,15,0,42,0,0,0.16,0.067
13,11,10,14,4,4,21,23,0.271,0.318
0,0,39,0,22,39,0,0,0.379,0.107
45,0,14,0,0,25,0,17,0.135,0.106
32,0,18,0,0,50,0,0,0.333,0.065
27,0,13,10,0,41,10,0,0.181,0.066
49,0,0,0,18,33,0,0,0.353,0.288
0,0,34,17,0,50,0,0,0.44,0.081
43,0,41,0,0,16,0,0,0.12,0.099
0,0,33,15,0,38,15,0,0.105,0.05
0,0,55,0,0,45,0,0,0.24,0.073
11,8,20,13,1,5,22,20,0.226,0.266
1,10,10,30,1,5,35,8,0.094,0.07
0,0,52,1,0,47,0,0,0.371,0.076
16,6,2,6,18,21,21,10,0.173,0.13
28,9,12,37,1,4,9,1,0.095,0.073
5,15,11,23,21,9,7,10,0.186,0.183
40,0,5,0,24,11,0,19,1.051,1.204
14,7,15,10,13,11,7,23,0.332,0.427
42,0,6,0,7,15,0,29,0.736,0.973
0,0,50,1,0,49,0,0,0.401,0.081
17,3,20,11,20,18,10,1,0.189,0.156
0,0,27,12,0,50,12,0,0.388,0.082
6,13,15,6,3,20,24,13,0.097,0.066
6,9,1,32,4,20,9,19,0.098,0.086
0,0,26,12,0,49,13,0,0.281,0.056
15,20,5,0,3,21,21,14,0.1,0.079
21,28,3,22,0,6,0,20,0.165,0.23
1,0,38,17,0,44,0,0,0.186,0.074
0,1,32,17,0,50,0,0,0.359,0.083
12,15,3,10,1,16,37,6,0.108,0.058
0,0,44,5,0,50,1,0,0.479,0.093
17,3,20,4,17,5,14,20,0.456,0.505
22,5,11,5,37,6,0,15,0.844,1.074
1,18,41,19,3,17,0,0,0.104,0.093
0,6,48,2,0,0,3,41,1.28,1.368
18,1,4,27,7,32,1,11,0.146,0.118
24,3,13,25,0,1,27,7,0.103,0.089
12,20,19,29,14,1,1,3,0.181,0.176
47,1,1,3,1,1,3,43,1.548,1.803
22,14,10,8,35,3,6,2,0.283,0.294
6,11,2,24,3,13,32,9,0.079,0.05
10,9,9,1,9,0,33,30,0.373,0.543
0,0,35,15,0,50,0,0,0.397,0.101
2,10,3,32,29,5,7,13,0.255,0.312
2,1,5,77,1,0,0,14,0.138,0.168
3,19,0,0,35,31,11,1,0.627,0.539
6,24,4,10,1,10,13,32,0.287,0.361
30,8,21,22,1,17,1,1,0.095,0.067
9,8,4,15,3,24,21,15,0.117,0.074
0,15,36,2,1,0,3,43,1.245,1.41
6,5,31,9,10,1,13,25,0.593,0.757
17,19,29,2,2,1,25,4,0.141,0.119
38,14,1,7,6,22,11,2,0.101,0.064
32,3,11,1,22,7,24,0,0.146,0.125
8,11,5,16,23,13,3,20,0.506,0.639
8,3,23,21,32,5,9,0,0.221,0.228
57,3,6,6,12,0,2,14,0.455,0.579
0,9,24,6,6,25,24,6,0.091,0.063
38,20,9,8,5,3,1,16,0.325,0.39
0,30,3,21,22,13,0,11,0.206,0.217
10,2,0,20,20,11,11,26,0.652,0.812
19,18,4,5,2,8,25,19,0.175,0.133
4,9,30,7,1,40,4,5,0.166,0.064
14,18,15,14,13,5,3,18,0.41,0.383
45,0,1,6,2,13,22,11,0.107,0.082
2,8,25,5,4,1,37,18,0.214,0.253
4,3,8,4,6,6,39,30,0.297,0.348
13,9,15,15,5,24,4,15,0.191,0.194
7,5,7,27,2,28,12,12,0.122,0.095
15,0,7,11,12,9,28,18,0.216,0.198
10,0,1,16,3,5,44,21,0.128,0.162
9,14,17,0,34,4,22,0,0.199,0.205
4,6,24,0,13,17,27,9,0.153,0.123
11,27,8,37,3,7,4,3,0.103,0.075
15,30,8,11,0,1,8,27,0.411,0.503
45,12,2,8,16,8,3,6,0.218,0.207
1,2,33,25,3,0,4,32,0.959,1.029
6,7,26,7,23,10,9,12,0.49,0.444
18,1,24,21,7,7,4,18,0.356,0.435
30,2,15,1,0,33,17,2,0.105,0.098
0,2,33,10,27,1,20,7,0.348,0.377
7,22,7,14,2,17,8,23,0.171,0.159
4,53,2,1,0,14,24,2,0.091,0.037
15,6,29,2,0,7,24,17,0.228,0.224
2,9,23,5,23,14,19,5,0.285,0.194
46,4,1,0,26,3,6,14,0.777,0.751
